GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Covid Radar,com.chilborne.covidradar.data.steps,WeeklyRecordAggregator,0,146,0,8,0,30,0,8,0,4
Covid Radar,com.chilborne.covidradar.data.steps,WeeklyRecordFixer,0,68,0,4,0,21,0,5,0,3
Covid Radar,com.chilborne.covidradar.data.steps,WeeklyRecordSorter,0,32,0,0,0,12,0,2,0,2
Covid Radar,com.chilborne.covidradar.data.steps,WeeklyRecordSaver,0,40,0,2,0,11,0,3,0,2
Covid Radar,com.chilborne.covidradar.data.steps,WeeklyRecordMapper,9,47,1,1,3,12,1,3,0,3
Covid Radar,com.chilborne.covidradar.data.steps,WeeklyRecordParser,0,56,0,0,0,14,0,2,0,2
Covid Radar,com.chilborne.covidradar.data.steps,WeeklyRecordFilter,0,31,0,2,0,8,0,4,0,3
Covid Radar,com.chilborne.covidradar.data.steps,WeeklyRecordConverter,0,28,0,0,0,10,0,2,0,2
Covid Radar,com.chilborne.covidradar.model,HealthWard,91,117,14,8,12,34,15,13,5,12
Covid Radar,com.chilborne.covidradar.model,WeeklyRecord,41,223,14,22,3,46,15,24,2,19
Covid Radar,com.chilborne.covidradar.model,WeeklyRecordDTO,126,70,10,8,27,16,22,2,13,2
Covid Radar,com.chilborne.covidradar.exceptions,DataNotFoundException,8,4,0,0,4,2,2,1,2,1
Covid Radar,com.chilborne.covidradar.exceptions,DataSaveException,8,4,0,0,4,2,2,1,2,1
Covid Radar,com.chilborne.covidradar.exceptions,PipeLineProcessException,7,9,0,0,4,4,2,2,2,2
Covid Radar,com.chilborne.covidradar.exceptions,DataFetchException,12,0,0,0,6,0,3,0,3,0
Covid Radar,com.chilborne.covidradar.data.collection,DataFetchAction,0,24,0,0,0,3,0,1,0,1
Covid Radar,com.chilborne.covidradar.data.collection,HttpWeeklyRecordFetcher,198,19,10,0,49,7,11,1,6,1
Covid Radar,com.chilborne.covidradar.data.collection.update,WeeklyRecordDataUpdater,7,20,0,0,2,8,0,2,0,2
Covid Radar,com.chilborne.covidradar.events,UpdatedDataEvent,4,10,0,0,2,4,1,2,1,2
Covid Radar,com.chilborne.covidradar.events,DataEventPublisher,10,33,1,1,2,10,1,2,0,2
Covid Radar,com.chilborne.covidradar.events,InitialDataEvent,4,10,0,0,2,4,1,2,1,2
Covid Radar,com.chilborne.covidradar.config,HttpWeeklyRecordFetcherConfig,0,38,0,0,0,11,0,5,0,5
Covid Radar,com.chilborne.covidradar.config,WeeklyRecordToHealthWardPipelineConfig,0,24,0,0,0,8,0,2,0,2
Covid Radar,com.chilborne.covidradar.config,WeeklyRecordInitializePipelineConfig,0,42,0,0,0,14,0,2,0,2
Covid Radar,com.chilborne.covidradar.config,WeeklyRecordParserConfig,0,11,0,0,0,3,0,2,0,2
Covid Radar,com.chilborne.covidradar.config,WeeklyUpdatePipelineConfig,0,24,0,0,0,8,0,2,0,2
Covid Radar,com.chilborne.covidradar.config,CacheConfig,0,19,0,0,0,7,0,3,0,3
Covid Radar,com.chilborne.covidradar.data.collection.initialization,WeeklyRecordDataInitializer,11,27,0,0,5,9,1,2,1,2
Covid Radar,com.chilborne.covidradar.cache,CacheServiceImpl,46,10,4,0,10,4,4,1,2,1
Covid Radar,com.chilborne.covidradar.controllers,HealthWardController,0,125,0,4,0,37,0,11,0,9
Covid Radar,com.chilborne.covidradar.controllers,AppController,17,10,0,0,5,4,2,1,2,1
Covid Radar,com.chilborne.covidradar.data.pipeline,WeeklyRecordUpdatePipeline,19,10,0,0,6,4,1,1,1,1
Covid Radar,com.chilborne.covidradar.data.pipeline,WeeklyRecordsToHealthWardPipeline,0,22,0,0,0,6,0,2,0,2
Covid Radar,com.chilborne.covidradar.data.pipeline,WeeklyRecordInitalizePipeline,7,22,0,0,2,8,0,2,0,2
Covid Radar,com.chilborne.covidradar.data.pipeline,Pipeline,0,25,0,0,0,5,0,4,0,4
Covid Radar,com.chilborne.covidradar.services,WeeklyRecordServiceImpl,13,180,1,7,3,44,2,12,1,9
Covid Radar,com.chilborne.covidradar.services,HealthWardServiceImpl,0,52,0,0,0,13,0,4,0,4
Covid Radar,com.chilborne.covidradar,CovidRadarApplication,5,3,0,0,2,1,1,1,1,1
